Filename,Domain_Structure,H_c,H_cr,M_r/M_s,H_cr/H_c
OPX001, Single_Vortex,0.000206263733284912,,0.0066895850765,
OPX002, Single_Domain,0.0409571505086243,,0.49493029959,
OPX003, Single_Vortex,0.0231812159916198,,0.55558137365,
OPX004, Multi_Vortex,0.000164051777652807,,0.00444760570223,
OPX005, Single_Domain,0.0357575541980139,,0.496180659365,
OPX006,,,,,
OPX007, Multi_Vortex,0.0182545393872695,,0.48689387369,
OPX008,,,,,
OPX009, Single_Domain,0.0353351219333414,,0.4903114751025,
OPX010, Single_Domain,0.0463505259440078,,0.518476119255,
OPX011, Single_Vortex,0.0192439295138154,,0.48308425445,
OPX012,,,,,
OPX013,,,,,
OPX014, Multi_Vortex,0.0300561837314172,,0.493219718625,
OPX015, Single_Domain,0.0648040984636272,,0.499607521,
OPX016, Multi_Vortex,0.0236994044038078,,0.4786475078755,
OPX017,,,,,
OPX018, Single_Domain,0.0452504986768952,,0.503939150145,
OPX019, Multi_Vortex,0.0226597102692518,,0.51792683975,
OPX020, Single_Domain,0.0599593838118086,,0.49632084426,
OPX021, Single_Domain,0.0612069484405068,,0.498751092665,
OPX022,,,,,
OPX023, Single_Domain,0.0331421035161153,,0.513007790535,
OPX024, Single_Vortex,0.0017508175944438,,0.0353389064055,
OPX025, Single_Vortex,0.000137936080047648,,0.0015574469683,
OPX026, Single_Domain,0.0317522930562703,,0.4638736514875,
OPX027, Single_Domain,0.0616036055621807,,0.492988745007,
OPX028, Single_Domain,0.0433795829304023,,0.5245507594,
OPX029, Single_Vortex,0.0211826401930697,,0.59729340835,
OPX030, Single_Vortex,0.0144155009448858,,0.458952036065,
OPX031, Multi_Vortex,0.014982216043849,,0.4895337018092,
OPX032, Single_Domain,0.0621688778893779,,0.47096769935,
OPX033,,,,,
OPX034, Single_Vortex,0.0169737858995412,,0.6867507638,
OPX035, Multi_Vortex,0.0159474852786397,,0.474625404055,
OPX036, Multi_Vortex,0.0142008139659994,,0.5856348575,
OPX037,,,,,
OPX038, Single_Domain,0.072841203661954,,0.49963055683,
OPX039, Single_Domain,0.0788771051321464,,0.489028170105,
OPX040,,,,,
OPX041, Multi_Vortex,0.0212744114131591,,0.534656438755,
OPX042, Single_Vortex,0.0268435122608775,,0.59150527485,
OPX043, Single_Domain,0.0689342052027643,,0.494390882735,
OPX044, Single_Vortex,0.0149823004991222,,0.5469499554,
OPX045, Single_Vortex,0.0235418217867272,,0.55543363745,
OPX046, Single_Vortex,0.0297970530776165,,0.50026306684,
OPX047, Single_Domain,0.0367248866809541,,0.48153969269,
OPX048, Single_Domain,0.027775947291527,,0.501474731525,
OPX049, Single_Domain,0.0227828530008876,,0.5837028058,
OPX050, Single_Vortex,0.0155577501528676,,0.422012120385,
OPX051, Multi_Vortex,0.0123679586950604,,0.52591279625,
OPX052, Single_Vortex,0.0149939454294607,,0.527870842815,
OPX053, Single_Domain,0.031067204382604,,0.53520956905,
OPX054, Single_Vortex,0.0184082920057475,,0.469204175915,
OPX055, Single_Vortex,0.00907752161204667,,0.2921011326781,
OPX056, Single_Vortex,0.0140910104453131,,0.4974125437415,
OPX057, Multi_Vortex,0.0178568036096996,,0.57065308854,
OPX058, Single_Vortex,0.0135067782243284,,0.526539645387,
OPX059,,,,,
OPX060, Single_Vortex,0.0166194265268414,,0.61792318005,
OPX061, Multi_Vortex,0.00875984094087342,,0.402547245694,
OPX062, Single_Domain,0.0321450221515976,,0.449676615755,
OPX063, Single_Vortex,0.0244228735925252,,0.5966915951,
OPX064, Single_Domain,0.0256519639082971,,0.5081103899,
OPX065, Single_Vortex,0.00125990889371015,,0.02862204348475,
OPX066, Single_Vortex,0.0185414107029834,,0.57982551155,
OPX067, Single_Vortex,,,,
OPX068, Multi_Vortex,0.0239389387885518,,0.50633476215,
OPX069,,,,,
OPX070, Single_Domain,0.0614936179995635,,0.49693766321,
OPX071, Multi_Vortex,0.0153953386445682,,0.508831630165,
OPX072, Single_Vortex,0.0343083143546374,,0.50154931439,
OPX073, Single_Vortex,0.0210226559625156,,0.5684462319,
OPX074, Single_Vortex,0.00598320389321883,,0.4527219081935,
OPX075,,,,,
OPX076, Single_Vortex,0.0207870442471511,,0.53300157127,
OPX077,,,,,
OPX078, Multi_Vortex,0.0114682881627239,,0.5795427943,
OPX079, Multi_Vortex,0.0185937688964949,,0.486093638495,
OPX080, Single_Domain,0.0523671977509691,,0.502076182263,
OPX081, Multi_Vortex,0.0118385545917285,,0.5580316292,
OPX082, Single_Vortex,0.0141088476550084,,0.68302173335,
,,,,,
,,,,,
