Filename,Avg Edge Length,Volume,Nodes,Tetrahedra
OPX001.pat,12.61786,0.007881859,8669.0,44415.0
OPX002.pat,11.521,0.004704484,5309.0,26583.0
OPX003.pat,11.63906,0.005943183,6344.0,28832.0
OPX004.pat,12.89434,0.02945699,30417.0,163744.0
OPX005.pat,12.48883,0.01692817,17106.0,89090.0
OPX006.pat,12.67724,0.3448096,347391.0,2036629.0
OPX007.pat,9.54935,0.01403979,14811.0,77563.0
OPX008.pat,10.61417,0.1304889,129031.0,699970.0
OPX009.pat,12.77815,0.02802935,24981.0,123385.0
OPX010.pat,12.09701,0.002167732,2271.0,9751.0
OPX011.pat,12.81772,0.01269115,13294.0,64345.0
OPX012.pat,11.53712,0.1000069,99336.0,502395.0
OPX013.pat,11.35575,0.2873696,287139.0,1574451.0
OPX014-1.pat,26.55197,0.05812262,5779.0,25463.0
OPX014-2.pat,17.30507,0.05853502,18977.0,92842.0
OPX014-3.pat,12.98991,0.05871515,55386.0,290187.0
OPX015.pat,10.70564,0.01204633,9187.0,43873.0
OPX016.pat,12.21144,0.01777659,18699.0,93703.0
OPX017.pat,11.84611,0.1555504,147358.0,791126.0
OPX018.pat,11.15921,0.01449485,13625.0,68315.0
OPX019-1.pat,24.81258,0.05187119,4493.0,17782.0
OPX019-2.pat,18.56849,0.05254138,17804.0,82765.0
OPX019-3.pat,13.74467,0.05278345,40860.0,202700.0
OPX020.pat,11.73889,0.008089638,5819.0,26322.0
OPX021.pat,11.71915,0.001570585,1922.0,8944.0
OPX022.pat,13.46649,0.2150289,215470.0,1166649.0
OPX023.pat,12.37843,0.02166385,18174.0,86656.0
OPX024.pat,11.00082,0.01316738,13801.0,72050.0
OPX025-1.pat,17.87269,0.03937484,9417.0,47548.0
OPX025-2.pat,13.91583,0.03946147,22944.0,121469.0
OPX025-3.pat,11.12211,0.03949514,42017.0,228216.0
OPX026.pat,12.9104,0.01345208,13160.0,68588.0
OPX027.pat,12.37916,0.00320006,3247.0,14749.0
OPX028.pat,10.65748,0.001630773,1511.0,6215.0
OPX029.pat,11.0529,0.008124558,8496.0,41434.0
OPX030.pat,11.75021,0.001946985,2270.0,10298.0
OPX031-1.pat,21.62254,0.02558799,6083.0,28168.0
OPX031-2.pat,14.11316,0.02569963,14401.0,71443.0
OPX031-3.pat,10.44458,0.02574867,26083.0,134257.0
OPX032.pat,12.71856,0.001056258,1260.0,4869.0
OPX033.pat,13.41376,0.1140878,114990.0,626747.0
OPX034.pat,12.12177,0.009677624,8602.0,35911.0
OPX035-1.pat,17.56096,0.02081859,6408.0,26336.0
OPX035-2.pat,13.91315,0.02100283,21825.0,102320.0
OPX036-1.pat,16.29439,0.05357987,14756.0,61653.0
OPX036-2.pat,12.75161,0.05379401,28548.0,127545.0
OPX036-3.pat,11.90782,0.05387892,50654.0,239712.0
OPX037.pat,12.92353,0.07504562,75204.0,400469.0
OPX038.pat,12.58758,0.002333993,2724.0,12706.0
OPX039.pat,12.67802,0.003389081,3564.0,16541.0
OPX040.pat,11.71664,0.09091026,88671.0,471119.0
OPX041-1.pat,20.1262,0.03323983,9612.0,43463.0
OPX041-2.pat,13.66216,0.03332992,18721.0,89947.0
OPX041-3.pat,11.51381,0.03340095,33835.0,169296.0
OPX042.pat,12.33386,0.00478826,5296.0,24003.0
OPX043.pat,10.07738,0.004583269,4708.0,22241.0
OPX044.pat,11.26613,0.006924873,6780.0,29998.0
OPX045.pat,12.17187,0.001583588,1819.0,7946.0
OPX046.pat,11.78949,0.01333423,11849.0,55809.0
OPX047.pat,13.75962,0.003708444,3586.0,15160.0
OPX048.pat,12.10738,0.001353511,1640.0,6606.0
OPX049.pat,11.03312,0.003615965,3445.0,14172.0
OPX050.pat,13.21056,0.006638679,7148.0,34029.0
OPX051-1.pat,24.1866,0.0787411,9594.0,38628.0
OPX051-2.pat,18.88957,0.07949218,18759.0,81623.0
OPX051-3.pat,13.36507,0.08041162,65117.0,317853.0
