Filename,Domain_Structure,M_r,M_s,H_c,H_cr,M_r/M_s,H_cr/H_c
PLAG001,,,,,,,
PLAG002, Single_Domain,,,,,,
PLAG003, Single_Domain,,,,,,
PLAG004, Single_Vortex,,,,,,
PLAG005, Single_Domain,,,,,,
PLAG006, Multi_Vortex,,,,,,
PLAG007, Single_Domain,,,,,,
PLAG008, Single_Domain,,,,,,
PLAG009,,,,,,,
PLAG010, Single_Domain,,,,,,
PLAG011, Single_Domain,,,,,,
PLAG012, Single_Domain,,,,,,
PLAG013, Multi_Vortex,,,0.0546740798605139,,0.51457314105,
PLAG014, Single_Domain,,,0.044786160475045,,0.5132224573,
PLAG015, Single_Domain,,,0.0278653802064559,,0.465574315475,
PLAG016, Single_Domain,,,0.0230202058292066,,0.39322425477,
PLAG017, Single_Domain,,,0.0265233895888424,,0.497338644735,
PLAG018, Single_Domain,,,0.0785153597153965,,0.4929545873,
PLAG019, Single_Domain,,,0.0591067030797493,,0.48819754696,
PLAG020, Single_Domain,,,0.0814946115314107,,0.51267356705,
PLAG021, Single_Domain,,,0.0613522737417499,,0.5143060988,
PLAG022, Multi_Vortex,,,0.00926040474654063,,0.390966044385,
PLAG023, Single_Domain,,,0.0231577784989545,,0.4478824285,
PLAG024, Single_Domain,,,0.0444784930923665,,0.495715314935,
PLAG025, Single_Domain,,,0.0603478778364393,,0.509540601255,
PLAG026, Single_Vortex,,,0.040876058141158,,0.486630471595,
PLAG027, Multi_Vortex,,,0.0149071274436026,,0.407017560155,
PLAG028, Single_Domain,,,0.0353519632301147,,0.486985142735,
PLAG029, Single_Domain,,,0.0212729912231592,,0.417025528895,
PLAG030, Single_Domain,,,0.0711927725680385,,0.50990488882,
PLAG031, Single_Vortex,,,0.0539441646492939,,0.5155802754,
PLAG032, Single_Domain,,,0.0655261598685291,,0.5130858905,
PLAG033, Single_Domain,,,0.0397139892277993,,0.4975770414,
PLAG034, Single_Domain,,,0.0494204547891146,,0.49528072186,
PLAG035, Single_Domain,,,0.0582816143400111,0.0,0.494166997665,
PLAG036, Single_Domain,,,0.0312372215979845,,0.43254139786,
PLAG037, Single_Vortex,,,0.00887195786664878,,0.09284621354,
PLAG038, Single_Domain,,,0.0518812592159707,0.0637880485538096,0.5142140442,1.22950077769457
PLAG039, Single_Domain,,,0.0424498571129765,0.0529432549995383,0.469135962345,1.24719512856391
PLAG040, Single_Domain,,,0.0325732916516593,0.0436968242000578,0.41900018408,1.34149243089566
PLAG041, Single_Domain,,,0.0574107961300497,0.0720780951188296,0.50960088705,1.25547980480108
PLAG042, Single_Domain,,,0.0210813704339042,0.0296726035131754,0.418338992385,1.4075272575949
PLAG043, Single_Domain,,,0.023468288111519,0.0344119920112095,0.473460552025,1.46631879784699
PLAG044, Single_Domain,,,0.0644794033009611,0.0772807243682663,0.5137275494,1.198533491502
PLAG045, Multi_Vortex,,,0.00315313912122824,0.0,0.0318721714155,
PLAG046, Single_Domain,,,0.0412754745253155,0.0588193552680738,0.483099248355,1.42504370802565
PLAG047, Single_Domain,,,0.053947457183682,0.0656490571754554,0.49598616755,1.21690735027476
PLAG048, Single_Domain,,,0.0801534047943653,0.0957464452230908,0.5130561736,1.1945399633207
PLAG049, Single_Domain,,,0.0589566433316398,0.0686405367519052,0.51046454575,1.16425449063971
PLAG050, Single_Domain,,,0.0150248246891879,0.022290621482237,0.436708736755,1.48358612784865
PLAG051, Single_Vortex,,,0.00876358296005048,0.0264408416333584,0.2772394789115,3.017126870812
PLAG052, Single_Domain,,,0.0683161828836784,0.081481533302674,0.5114016013,1.19271203195606
PLAG053, Single_Vortex,,,0.00310103921362375,0.035716332617886,0.0280779279765,11.5175365925635
PLAG054, Single_Vortex,,,0.0782086911984298,0.0965152719311482,0.51390448045,1.23407348278302
PLAG055, Single_Vortex,,,0.0596671154729495,0.0736791570042805,0.5102719088,1.23483691846447
PLAG056, Single_Domain,,,0.0642735318034374,0.0739835782443542,0.48850199424,1.15107379614072
PLAG057, Single_Vortex,,,0.0614444551204358,0.0764807358193179,0.51126974105,1.2447133865767
