Filename,Avg Edge Length,Vol,Nodes,Tetrahedra
PLAG002_1,55.06783,0.1826081,1693.0,5574.0
PLAG002_2,35.69707,0.1889753,5782.0,23592.0
PLAG002_3,14.78853,0.1963211,42855.0,212860.0
PLAG002_4,12.0036,0.1995646,99886.0,522297.0
PLAG003_1,61.51408,0.1456055,1937.0,7975.0
PLAG003_2,36.68792,0.1483558,6990.0,32885.0
PLAG003_3,16.79151,0.1507354,55605.0,298597.0
PLAG003_4,12.6789,0.1514819,131716.0,731570.0
PLAG004_1,46.92047,0.1092952,1553.0,5903.0
PLAG004_2,37.28698,0.1132264,5553.0,25018.0
PLAG004_3,14.60859,0.1167785,43575.0,227959.0
PLAG004_4,12.14311,0.1175407,102509.0,557358.0
PLAG005_1,25.95134,0.06140288,969.0,2439.0
PLAG005_2,30.65764,0.06852208,2975.0,10011.0
PLAG005_3,15.54647,0.07245919,21321.0,95418.0
PLAG005_4,11.68344,0.0740349,65447.0,322253.0
PLAG006_1,57.38002,0.1170145,1520.0,6512.0
PLAG006_2,30.96524,0.1203005,5582.0,27100.0
PLAG006_3,16.51292,0.1231381,44794.0,244573.0
PLAG006_4,12.66609,0.1237306,106390.0,598034.0
PLAG007_1,46.97256,0.05811025,1022.0,2926.0
PLAG007_2,31.60466,0.06066165,3125.0,11457.0
PLAG007_3,16.05733,0.06326234,22857.0,106988.0
PLAG007_4,12.24327,0.06383131,52588.0,262219.0
PLAG008_1,58.53572,0.04724036,799.0,1739.0
PLAG008_2,25.45489,0.05412255,6058.0,22479.0
PLAG008_3,15.11928,0.05584146,17847.0,76971.0
PLAG008_4,11.20181,0.05682584,40489.0,189309.0
PLAG009_1,55.98826,0.1078204,1484.0,6103.0
PLAG009_2,33.71493,0.1107571,5272.0,25033.0
PLAG009_3,17.28576,0.1131141,42275.0,227802.0
PLAG009_4,10.54852,0.1137932,100180.0,557875.0
PLAG010_1,52.96727,0.06076108,865.0,2834.0
PLAG010_2,31.03268,0.06406944,3101.0,12741.0
PLAG010_3,16.52971,0.06683358,23214.0,115747.0
PLAG010_4,11.61282,0.06741761,54166.0,283822.0
PLAG011_1,55.42648,0.07597896,1067.0,4125.0
PLAG011_2,32.57536,0.07954758,3792.0,17253.0
PLAG011_3,16.66752,0.08204045,29928.0,158294.0
PLAG011_4,12.18595,0.08277233,70532.0,387099.0
PLAG012_1,56.24673,0.1108723,1549.0,6927.0
PLAG012_2,32.63412,0.1126087,5684.0,28390.0
PLAG012_3,14.87163,0.1139063,46399.0,257089.0
PLAG012_4,11.47207,0.1143162,110724.0,629683.0
PLAG013_1,37.99001,0.0431241,425.0,988.0
PLAG013_2,34.01191,0.04758889,2390.0,8626.0
PLAG013_3,15.20641,0.05127083,17331.0,80405.0
PLAG013_4,12.79638,0.05193885,39653.0,196614.0
PLAG014_1,52.97947,0.04433584,704.0,1957.0
PLAG014_2,37.13211,0.0470289,2295.0,8343.0
PLAG014_3,16.0194,0.05036366,16601.0,76982.0
PLAG014_4,12.64217,0.05077361,38270.0,189564.0
PLAG015_1,41.90857,0.05342409,799.0,2812.0
PLAG015_2,36.18825,0.05677949,2697.0,11585.0
PLAG015_3,18.69192,0.05954917,20626.0,104910.0
PLAG015_4,10.44716,0.06021115,48396.0,257852.0
PLAG016_1,58.99806,0.05280409,800.0,3067.0
PLAG016_2,37.3176,0.05557964,2876.0,13009.0
PLAG016_3,19.26454,0.05690752,11931.0,60513.0
PLAG016_4,12.35658,0.0576683,53104.0,289819.0
PLAG017_1,54.32198,0.05300973,796.0,2950.0
PLAG017_2,30.53932,0.05508149,2802.0,12217.0
PLAG017_3,17.06611,0.05746991,21480.0,110927.0
PLAG017_4,12.37078,0.05804922,50608.0,272741.0
PLAG018_1,13.3279,0.008894473,206.0,470.0
PLAG018_2,39.84368,0.04802484,1047.0,2906.0
PLAG018_3,19.64396,0.05251921,6152.0,24721.0
PLAG018_4,10.52316,0.05457527,34163.0,165058.0
PLAG019_1,39.81171,0.04148985,507.0,1290.0
PLAG019_2,32.0515,0.04577191,1602.0,5491.0
PLAG019_3,16.68717,0.04895367,11140.0,50344.0
PLAG019_4,13.06753,0.04978441,25381.0,123162.0
PLAG020_1,43.61346,0.003358403,114.0,248.0
PLAG020_2,35.44772,0.006540972,399.0,1118.0
PLAG020_3,16.02858,0.007242309,2600.0,10620.0
PLAG020_4,12.16496,0.007348779,5748.0,25910.0
PLAG021_1,49.92231,0.01902232,350.0,967.0
PLAG021_2,33.99752,0.0201966,1113.0,4038.0
PLAG021_3,15.35882,0.02138436,8031.0,37544.0
PLAG021_4,12.36726,0.02169364,18489.0,91962.0
PLAG022_1,23.25578,0.04174417,651.0,2330.0
PLAG022_2,34.6138,0.04355458,2157.0,9301.0
PLAG022_3,14.72638,0.04444205,16332.0,84060.0
PLAG022_4,12.00373,0.04475029,38216.0,205380.0
PLAG023_1,50.7361,0.03627564,584.0,2106.0
PLAG023_2,35.26008,0.03788539,2083.0,9007.0
PLAG023_3,17.39751,0.03933864,15873.0,81297.0
PLAG023_4,11.56862,0.03969906,37246.0,199442.0
PLAG024_1,35.57514,0.03330034,481.0,1370.0
PLAG024_2,30.36527,0.03459518,1525.0,5723.0
PLAG024_3,17.24839,0.03694977,11148.0,53682.0
PLAG024_4,11.59136,0.03742754,25807.0,131275.0
PLAG025_1,41.96244,0.02762349,499.0,1424.0
PLAG025_2,33.55662,0.02896617,1526.0,5505.0
PLAG025_3,17.80511,0.03043289,5878.0,25536.0
PLAG025_4,10.19285,0.03130202,24798.0,122417.0
PLAG026_1,51.96177,0.02934118,455.0,1427.0
PLAG026_2,32.93726,0.03130834,1574.0,6200.0
PLAG026_3,14.46163,0.03306243,11527.0,56435.0
PLAG026_4,12.00868,0.03338032,26914.0,139039.0
PLAG027_1,58.51228,0.03195737,528.0,1980.0
PLAG027_2,32.78792,0.03307916,1881.0,8370.0
PLAG027_3,14.4475,0.03388096,14437.0,75139.0
PLAG027_4,10.97288,0.03409768,34139.0,184872.0
PLAG028_1,39.30706,0.02878985,519.0,1642.0
PLAG028_2,25.96535,0.03019491,1623.0,6508.0
PLAG028_3,15.73535,0.03155452,11933.0,59135.0
PLAG028_4,11.04536,0.03178905,27864.0,145275.0
PLAG029_1,60.56569,0.03591353,545.0,1966.0
PLAG029_2,37.67865,0.03742052,1830.0,7955.0
PLAG029_3,15.95793,0.03868483,14229.0,73180.0
PLAG029_4,13.09919,0.03892036,33187.0,178224.0
PLAG030_1,53.86136,0.0197678,357.0,846.0
PLAG030_2,33.99168,0.02168468,1050.0,3398.0
PLAG030_3,15.97685,0.0230815,7347.0,32541.0
PLAG030_4,7.21908,0.02354535,50542.0,260772.0
PLAG031_1,49.20704,0.01971929,371.0,917.0
PLAG031_2,27.21862,0.02170175,1144.0,3762.0
PLAG031_3,15.04154,0.02289849,8168.0,36258.0
PLAG031_4,11.79217,0.02338696,18558.0,88924.0
PLAG032_1,51.42775,0.0180962,339.0,808.0
PLAG032_2,32.55005,0.01930851,1042.0,3408.0
PLAG032_3,15.38038,0.02093901,7472.0,33093.0
PLAG032_4,12.6881,0.02113015,16922.0,81026.0
PLAG033_1,44.23683,0.02249158,389.0,1219.0
PLAG033_2,24.95801,0.02430388,2325.0,9994.0
PLAG033_3,17.21542,0.02482979,9490.0,46715.0
PLAG033_4,8.23276,0.02520633,68372.0,373220.0
PLAG034_1,50.78417,0.02116605,330.0,928.0
PLAG034_2,32.25,0.02283295,1136.0,4172.0
PLAG034_3,16.68777,0.02418897,8187.0,38355.0
PLAG034_4,12.03137,0.02461964,18694.0,93487.0
PLAG035_1,31.25018,0.02445939,350.0,955.0
PLAG035_2,43.16252,0.0252984,725.0,2421.0
PLAG035_3,19.41474,0.0276123,4422.0,19506.0
PLAG035_4,12.41,0.02901612,18771.0,93328.0
PLAG036_1,57.22855,0.03287579,395.0,1286.0
PLAG036_2,36.86036,0.03481931,1305.0,5300.0
PLAG036_3,16.00257,0.03648848,9768.0,48453.0
PLAG036_4,14.21539,0.03683536,22809.0,118859.0
PLAG037_1,63.79753,0.02977709,452.0,1763.0
PLAG037_2,38.00252,0.03114271,1669.0,7680.0
PLAG037_3,16.43966,0.03242974,12979.0,68718.0
PLAG037_4,13.3092,0.03265424,30710.0,168691.0
PLAG038_1,59.60714,0.01406685,287.0,759.0
PLAG038_2,38.4923,0.01496917,900.0,3142.0
PLAG038_3,14.25321,0.0162146,6441.0,29330.0
PLAG038_4,10.72792,0.01659044,28941.0,147791.0
PLAG039_1,54.62792,0.01852956,273.0,776.0
PLAG039_2,28.36671,0.02044756,923.0,3514.0
PLAG039_3,16.79019,0.02162688,6881.0,32975.0
PLAG039_4,12.28057,0.02177629,15855.0,80813.0
PLAG040_1,41.07414,0.02132052,350.0,1142.0
PLAG040_2,37.81233,0.02378078,1125.0,4556.0
PLAG040_3,15.42649,0.02515763,8526.0,42347.0
PLAG040_4,11.96526,0.02534827,19877.0,103757.0
PLAG041_1,31.0498,0.01336925,757.0,2246.0
PLAG041_2,31.0498,0.01336925,757.0,2247.0
PLAG041_3,18.76319,0.01441093,4757.0,19700.0
PLAG041_4,12.39917,0.01476014,10583.0,47995.0
PLAG042_1,47.08291,0.02066483,338.0,1185.0
PLAG042_2,37.9397,0.02196702,1169.0,4966.0
PLAG042_3,18.65782,0.02274553,8916.0,45354.0
PLAG042_4,11.86187,0.02290477,20796.0,110856.0
