particle_id,phase,source_path,source_folder,stl_size_bytes,stl_size_mib,stl_format,metadata_volume_um3,metadata_evsd_um,size_rank,size_bin_index,size_bin,input_unit,input_scale_to_meters,target_edge_length_native,target_edge_length_m,surface_path,surface_file_size_bytes,surface_n_points_surface,surface_n_triangles_surface,surface_surface_area,surface_surface_volume,surface_bbox_xmin,surface_bbox_xmax,surface_bbox_ymin,surface_bbox_ymax,surface_bbox_zmin,surface_bbox_zmax,surface_bbox_diagonal,surface_boundary_edge_count,surface_non_manifold_edge_count,surface_connected_components,surface_is_watertight,surface_area_min,surface_area_median,surface_area_p95,surface_area_max,surface_min_angle_min,surface_min_angle_median,surface_min_angle_p95,surface_min_angle_max,surface_max_angle_min,surface_max_angle_median,surface_max_angle_p95,surface_max_angle_max,surface_aspect_ratio_min,surface_aspect_ratio_median,surface_aspect_ratio_p95,surface_aspect_ratio_max,msh_path,merrill_msh_path,merrill_msh_size_bytes,merrill_msh_size_mib,mesh_strategy,msh_size_bytes,msh_size_mib,n_nodes,n_tets,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,volume_min,volume_median,volume_p95,volume_max,scaled_jacobian_min,scaled_jacobian_median,scaled_jacobian_p95,scaled_jacobian_max,radius_ratio_min,radius_ratio_median,radius_ratio_p95,radius_ratio_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_p95,aspect_ratio_max,min_angle_min,min_angle_median,min_angle_p95,min_angle_max,max_angle_min,max_angle_median,max_angle_p95,max_angle_max,edge_length_min,edge_length_median,edge_length_p95,edge_length_max,edge_length_min_m,edge_length_median_m,edge_length_p95_m,edge_length_max_m,bbox_xmin_m,bbox_xmax_m,bbox_ymin_m,bbox_ymax_m,bbox_zmin_m,bbox_zmax_m,mesh_storage_bytes,vector_state_bytes,scalar_state_bytes,tet_workspace_bytes,sparse_operator_bytes,estimated_memory_bytes,estimated_memory_mib,estimated_memory_gib,estimated_memory_human,estimate_note,status,attempted_mesh_strategies,strategy_errors,voxel_spacing_native,voxel_cells,voxel_points
PLAG246,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG246-binary.stl,Plag Binary meshes,7173,0.006840705871582031,ascii,3.84640588890761e-05,0.0418811722974026,0,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG246-binary.stl,7173,24,44,0.010484310587145872,5.382517665317574e-05,22.882022857666016,22.98440170288086,10.632880210876465,10.69513988494873,9.27937126159668,9.299371719360352,0.12148132891052066,0,0,1,True,0.00020475856217672117,0.00021246190499368822,0.0003607442521425079,0.00036075548898968916,34.4504705156794,44.61433184461598,59.16546225162776,59.16546225162776,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3939546678003747,1.3946582682586561,1.4792128612444826,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG246.msh,29496,0.02812957763671875,gmsh,34365,0.03277301788330078,272,776,22.882023,22.984402,10.63288,10.69514,9.279370999999998,9.299372000000002,1.3577601146697649e-08,6.178355496363242e-08,1.4431019293215214e-07,2.1709591772318634e-07,0.1722511472994757,0.5154234777976523,0.7789737311698745,0.9040951344540646,1.0052975079715905,1.3476114212148145,2.1354418955627574,3.315043716520733,1.0355577588693166,1.5919888802717592,2.5186320999838223,3.9395996312311596,15.011490950072057,49.607563959233666,66.80487957011516,78.19666220940502,-1.0,-1.0,-1.0,-1.0,0.00409268951163293,0.008660598333322474,0.013239551502441665,0.01597654908085078,4.09268951163293e-09,8.660598333322473e-09,1.3239551502441664e-08,1.597654908085078e-08,2.2882023e-05,2.2984402e-05,1.063288e-05,1.069514e-05,9.279370999999997e-06,9.299372000000001e-06,31360,78336,26112,49664,1044480,1844928.0,1.75946044921875,0.0017182230949401855,1.76 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,,,,
PLAG245,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG245-binary.stl,Plag Binary meshes,8130,0.0077533721923828125,ascii,4.69969985248397e-05,0.0447737874649074,1,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG245-binary.stl,8130,27,49,0.011406757777586922,0.0019795527993395,18.00878143310547,18.09068489074707,14.243958473205566,14.306217193603516,11.939372062683105,11.959371566772461,0.10480603419202439,2,1,1,False,0.00020474879875109764,0.00021246190499368822,0.0003607330175470724,0.0003607555002254055,34.45042416714881,44.61433184461598,59.16467692102466,59.166248488915194,60.996050787406936,90.0,90.0,90.0,1.010148601100164,1.3939546678003747,1.4639737687760097,1.4792136550338595,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG245.msh,31008,0.029571533203125,pymeshfix_gmsh,38444,0.036663055419921875,283,819,18.00878143310547,18.09068489074707,14.24395847320557,14.30621719360352,11.9393720626831,11.95937156677246,1.2901729610439355e-08,6.567364260347939e-08,1.4684604054915624e-07,2.7119380372706165e-07,0.19698492352111222,0.534675729619855,0.7772419716408735,0.9499627525465206,1.006572808377564,1.3428717366354033,1.943309311646801,3.2714407351252963,1.0476839717670694,1.575499085505554,2.261554319503947,3.881296932677681,14.135792789206628,50.187471196756874,67.94279218520917,78.7086860047774,-1.0,-1.0,-1.0,-1.0,0.0040963487488108,0.008946291258451547,0.013428277385509458,0.01624259120343295,4.0963487488108e-09,8.946291258451546e-09,1.3428277385509457e-08,1.6242591203432952e-08,1.8008781433105467e-05,1.809068489074707e-05,1.4243958473205569e-05,1.4306217193603519e-05,1.1939372062683099e-05,1.1959371566772459e-05,33000,81504,27168,52416,1086720,1921212.0,1.8322105407714844,0.0017892681062221527,1.83 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity,,,
PLAG244,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG244-binary.stl,Plag Binary meshes,8461,0.008069038391113281,ascii,4.27812525837605e-05,0.0433928616043066,2,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG244-binary.stl,8461,28,52,0.012165666673664328,6.232362873892013e-05,26.485763549804688,26.58814239501953,8.806587219238281,8.868847846984863,15.639371871948242,15.659371376037598,0.12148166066836402,0,0,1,True,0.00020474879875109764,0.00021247166841931175,0.000360744254220975,0.0003607667372703575,35.94463321634594,44.61367368031368,59.16383426248813,59.16471640478044,60.996050787406936,90.0,90.0,90.0,1.010148601100164,1.3939550364495108,1.3943953045114725,1.4557942858243378,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG244.msh,33080,0.03154754638671875,gmsh,38439,0.036658287048339844,305,871,26.485764,26.588142,8.806587,8.868848000000002,15.639372,15.659371,1.1963706749540876e-08,6.461570466249542e-08,1.4755065538169217e-07,2.6859950563459747e-07,0.21213463098916657,0.5260625115449293,0.7893524477776881,0.9432144414500326,1.002756402843772,1.3401244769340759,2.1078606268165965,3.2236370969708967,1.0303151074282342,1.5894167373630554,2.4386243874213234,3.8235331048881553,14.426790246954859,50.16162533052756,66.2652059740582,78.40599789472955,-1.0,-1.0,-1.0,-1.0,0.004492611034311138,0.008762163942652222,0.013467333676492822,0.017122509277877902,4.492611034311138e-09,8.762163942652222e-09,1.346733367649282e-08,1.7122509277877903e-08,2.6485763999999998e-05,2.6588142e-05,8.806587e-06,8.868848000000002e-06,1.5639371999999998e-05,1.5659371e-05,35192,87840,29280,55744,1171200,2068884.0,1.9730415344238281,0.0019267983734607697,1.97 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,,,,
PLAG243,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG243-binary.stl,Plag Binary meshes,8955,0.008540153503417969,ascii,2.97097646768663e-05,0.0384267389352994,3,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG243-binary.stl,8955,29,54,0.014310728330274955,0.008038273079907173,21.694425582885742,21.796804428100586,11.649792671203613,11.712052345275879,14.559371948242188,14.61937141418457,0.13400608522183174,5,5,1,False,0.00020474879875109764,0.0002124816965078935,0.0003607594324501086,0.0003607779723713267,35.38975863716515,44.61433184461598,59.166248488915194,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3939546678003747,1.4639867194934397,1.4639931274490585,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG243.msh,35236,0.033603668212890625,pymeshfix_gmsh,43577,0.041558265686035156,317,936,21.69442558288574,21.79680442810059,11.64979267120361,11.71205234527588,14.55937194824219,14.61937141418457,6.286156052043942e-09,5.922981607564612e-08,1.2213590466855948e-07,2.23695854734563e-07,0.16728058629276873,0.5553161894772458,0.7931723438623302,0.9994762480844273,1.0004658147769299,1.3148554750967973,2.0946051868350737,3.0560697048268852,1.0093778495979258,1.5563474247682314,2.4204173738790953,3.725027373628816,16.001051557996444,49.33621593483113,66.4670213303054,78.93825555373054,-1.0,-1.0,-1.0,-1.0,0.003832955050795919,0.008404316834450639,0.013031333605663427,0.01610920498316525,3.832955050795919e-09,8.404316834450639e-09,1.3031333605663426e-08,1.6109204983165248e-08,2.1694425582885738e-05,2.1796804428100588e-05,1.164979267120361e-05,1.171205234527588e-05,1.4559371948242189e-05,1.461937141418457e-05,37560,91296,30432,59904,1217280,2154708.0,2.054889678955078,0.0020067282021045685,2.05 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Invalid boundary mesh (overlapping facets) on surface 13 surface 3,,,
PLAG242,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG242-binary.stl,Plag Binary meshes,9117,0.008694648742675781,ascii,3.26354413361744e-05,0.0396488220624467,4,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG242-binary.stl,9117,29,56,0.013548322445889611,0.004034221831868452,10.76034927368164,10.862728118896484,9.491447448730469,9.595213890075684,11.399372100830078,11.419371604919434,0.14713559209380644,2,4,1,False,0.00020474879875109764,0.00021247166841931175,0.0003607555002254055,0.0003607667372703575,34.44980179266129,44.61301551601138,59.165099425814134,59.166248488915194,60.996050787406936,90.0,90.0,90.0,1.010148601100164,1.393955405098647,1.4677911339614673,1.479224314564088,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG242.msh,15614,0.014890670776367188,voxel,15614,0.014890670776367188,158,396,10.76965618133545,10.853421211242676,9.50874137878418,9.586566925048828,11.399372100830078,11.419371604919434,1.3411778685681539e-07,1.34130578252796e-07,1.3414632321628872e-07,1.3415911733390592e-07,0.38978500783370224,0.5536800330476656,0.6302777777766975,0.6303175466976368,1.3741143999251946,1.4086179952294497,1.5804845081252188,1.580499404946649,1.4219493530329264,1.7251976654071697,1.93569029564022,1.9357085404458663,35.09552250523222,51.76679685961564,63.538130398804014,63.538130398804014,-1.0,-1.0,-1.0,-1.0,0.008646965026855469,0.012703878708968478,0.016167656352770746,0.016168715411398298,8.646965026855469e-09,1.2703878708968478e-08,1.6167656352770746e-08,1.6168715411398297e-08,1.0769656181335449e-05,1.0853421211242676e-05,9.508741378784179e-06,9.586566925048828e-06,1.1399372100830078e-05,1.1419371604919433e-05,16464,45504,15168,25344,606720,1063800.0,1.0145187377929688,0.000990740954875946,1.01 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: RuntimeError: Mesh worker exited with code -11 without a result.,0.009,66.0,158.0
PLAG241,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG241-binary.stl,Plag Binary meshes,9120,0.008697509765625,ascii,5.09825926968688e-05,0.0460052891952411,5,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG241-binary.stl,9120,30,55,0.012740026820353221,0.0023187955017363064,13.176492691040039,13.237920761108398,11.587532997131348,11.691299438476562,12.919371604919434,12.939372062683105,0.12223297612563315,2,1,1,False,0.00020475856217672117,0.00021247166841931175,0.0003161344164823923,0.00036076673515312863,35.3904031314035,44.61433184461598,48.981538762184385,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3939546678003747,1.455803326202319,1.463983269055799,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG241.msh,32212,0.030719757080078125,pymeshfix_gmsh,39909,0.03806018829345703,293,852,13.17649269104004,13.2379207611084,11.58753299713135,11.67054557800293,12.91937160491943,12.93937206268311,9.063410963581885e-09,7.152814096181522e-08,1.6957020875206156e-07,2.583840367510544e-07,0.14227930742818762,0.5388597165402867,0.789626545485752,0.9604544056136018,1.0024861258553381,1.3182803951220738,2.129193894964621,3.2512962752434316,1.0287623488444622,1.5518730998065395,2.4443496502724518,3.947032860834253,12.245999731807366,49.18964306965553,67.63030032196609,82.52257113958578,-1.0,-1.0,-1.0,-1.0,0.003699307630009931,0.009319737045839285,0.013718499370624507,0.01676899440694701,3.699307630009931e-09,9.319737045839285e-09,1.3718499370624506e-08,1.6768994406947008e-08,1.317649269104004e-05,1.32379207611084e-05,1.1587532997131349e-05,1.167054557800293e-05,1.2919371604919429e-05,1.293937206268311e-05,34296,84384,28128,54528,1125120,1989684.0,1.8975105285644531,0.0018530376255512238,1.90 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity,,,
PLAG240,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG240-binary.stl,Plag Binary meshes,9603,0.009158134460449219,ascii,4.37692952294603e-05,0.0437243783666744,6,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG240-binary.stl,9603,32,59,0.014617580981309969,0.0010534701702820865,-0.6651470065116882,-0.5832440257072449,11.213973045349121,11.276232719421387,6.6193718910217285,6.659371852874756,0.11038279860776046,2,1,1,False,0.00020475010418863349,0.00021246808984187737,0.00036074678432365773,0.0003607568975124945,35.390241208915626,44.61384937909773,59.164853493404905,59.16556070683918,60.994986612736106,90.0,90.0,90.0,1.0101378049491077,1.3939549377458706,1.463966475011332,1.4639857458006889,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG240.msh,38877,0.03707599639892578,pymeshfix_gmsh,48977,0.046708106994628906,349,1034,-0.6651470065116882,-0.5832440257072449,11.21397304534912,11.27623271942139,6.619371891021728,6.659371852874757,1.1163078088223217e-08,6.287686275874005e-08,1.4488153514255082e-07,2.1722953448968764e-07,0.16677643275528414,0.5698153627517593,0.7924094244827414,0.9787641006262304,1.0005846545232893,1.2983403689521067,1.9933910633994172,4.079863034935052,1.014493388979903,1.5285180989460623,2.308417052087669,4.773086920189067,13.313471862035158,49.71580993199433,67.26219372901603,79.18152675886834,-1.0,-1.0,-1.0,-1.0,0.004288576985827226,0.008739956950483335,0.012997672754405012,0.01585060241212174,4.288576985827226e-09,8.739956950483334e-09,1.2997672754405012e-08,1.585060241212174e-08,-6.651470065116882e-07,-5.832440257072449e-07,1.1213973045349118e-05,1.1276232719421389e-05,6.6193718910217276e-06,6.6593718528747564e-06,41464,100512,33504,66176,1340160,2372724.0,2.262805938720703,0.0022097714245319366,2.26 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity,,,
PLAG239,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG239-binary.stl,Plag Binary meshes,9765,0.009312629699707031,ascii,7.59469690081865e-05,0.052541678331426,7,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG239-binary.stl,9765,33,60,0.016391451633075288,0.009351876355391302,4.924746036529541,5.047601222991943,13.559098243713379,13.662864685058594,11.899372100830078,11.939372062683105,0.16571321051263596,6,4,1,False,0.00020474879875109764,0.0002520061772882011,0.0003607557700287106,0.0003607611097701182,34.45011714047594,44.614998937413766,59.165069821995466,59.16585514036257,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.393954295109688,1.4639839730610753,1.4792189134431564,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG239.msh,49573,0.04727649688720703,pymeshfix_gmsh,61322,0.05848121643066406,419,1346,4.924746036529541,5.027124881744385,13.55909824371338,13.66286468505859,11.89937210083008,11.93937206268311,9.32293000670943e-09,6.805022487761912e-08,1.4126065401261205e-07,2.4960447091879604e-07,0.1157879300945097,0.5255409528780954,0.7848852894805609,0.9495591881911211,1.0043257977900153,1.3360322343703852,2.30074888303316,4.24713993079624,1.039100389043293,1.5766170717003043,2.654461167415145,4.377612185724417,12.312491776977154,48.33737063072469,66.73666003871375,79.81459609430503,-1.0,-1.0,-1.0,-1.0,0.003043322803079084,0.009131039226132606,0.013388046897395561,0.016092934733107793,3.0433228030790837e-09,9.131039226132606e-09,1.3388046897395561e-08,1.6092934733107793e-08,4.924746036529541e-06,5.027124881744385e-06,1.355909824371338e-05,1.366286468505859e-05,1.1899372100830079e-05,1.1939372062683111e-05,53128,120672,40224,86144,1608960,2863692.0,2.731029510498047,0.002667021006345749,2.73 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles,,,
PLAG238,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG238-binary.stl,Plag Binary meshes,10251,0.009776115417480469,ascii,4.66399513025332e-05,0.0446601134522148,8,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG238-binary.stl,10251,34,63,0.01505251149872946,0.0025565900498335137,8.733243942260742,8.835624694824219,10.051786422729492,10.13479995727539,12.939372062683105,12.959371566772461,0.13331558639966684,6,5,1,False,0.00020474879875109764,0.00021247166841931175,0.0003607431305535847,0.0003607667372703575,35.39102426263919,44.61433184461598,59.16467692102466,59.166248488915194,60.996050787406936,90.0,90.0,90.0,1.010148601100164,1.3939546678003747,1.455810946332698,1.4639737687760097,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG238.msh,33556,0.032001495361328125,pymeshfix_gmsh,41723,0.03979015350341797,307,886,8.733243942260742,8.815147399902344,10.05178642272949,10.13479995727539,12.9393720626831,12.95937156677246,1.274417545314874e-08,7.068279304682545e-08,1.5877076170232525e-07,2.7967840158173693e-07,0.1695221680184055,0.5612501400537778,0.7901264418730867,0.9513468731477881,1.004898829412203,1.3019191503432828,1.932708112234296,4.068221189602475,1.040830938598331,1.541688103662623,2.2465025673443835,4.789336358179515,13.206816917979117,49.94610043568461,67.88732169122073,79.91887506153016,-1.0,-1.0,-1.0,-1.0,0.003763940844420486,0.00891380083435617,0.013616302441018382,0.016621224209520225,3.763940844420486e-09,8.91380083435617e-09,1.3616302441018381e-08,1.6621224209520223e-08,8.733243942260742e-06,8.815147399902344e-06,1.005178642272949e-05,1.013479995727539e-05,1.29393720626831e-05,1.2959371566772458e-05,35720,88416,29472,56704,1178880,2083788.0,1.9872550964355469,0.0019406788051128387,1.99 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Invalid boundary mesh (overlapping facets) on surface 2 surface 10,,,
PLAG237,PLAG,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG237-binary.stl,Plag Binary meshes,10440,0.00995635986328125,ascii,8.38789345444235e-05,0.0543106200432981,9,0,00_smallest,um,1e-06,0.009,9e-09,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022/Plag Binary meshes/PLAG237-binary.stl,10440,34,63,0.016851120907622516,0.00210275697770543,12.214130401611328,12.29603385925293,14.181697845458984,14.243958473205566,11.579371452331543,11.639371871948242,0.11909917084189993,2,1,1,False,0.00020474879875109764,0.0002950629283111731,0.00036075548898968916,0.0003607779723713267,34.44980179266129,43.939559905881936,59.164602244471176,59.16550169673353,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.394662388477074,1.4639931274490585,1.479224314564088,,/Users/yimingzhang/Github/stl2fem.jl/data/Nikolaisen2022_merrill_msh/PLAG237.msh,53577,0.051095008850097656,pymeshfix_gmsh,66656,0.063568115234375,461,1447,12.21413040161133,12.29603385925293,14.18169784545898,14.24395847320557,11.57937145233154,11.63937187194824,4.760493826598049e-09,6.59431644978553e-08,1.5037529674191577e-07,2.5962563132222953e-07,0.19516606760517619,0.5592975849093613,0.8045883362161775,0.9773612952463844,1.0008117618296704,1.3055807704354945,1.9897850805907547,3.1706864534884036,1.014949376415744,1.5361246103318746,2.3182821842274994,3.7916822611393743,13.340909745088355,49.5392495873898,67.46108606590286,79.13939121823222,-1.0,-1.0,-1.0,-1.0,0.003709210099582944,0.00891431337152743,0.013496779730297554,0.017332025963878995,3.7092100995829437e-09,8.91431337152743e-09,1.3496779730297554e-08,1.7332025963878996e-08,1.221413040161133e-05,1.229603385925293e-05,1.418169784545898e-05,1.4243958473205569e-05,1.1579371452331539e-05,1.163937187194824e-05,57368,132768,44256,92608,1770240,3145860.0,3.0001258850097656,0.0029298104345798492,3.00 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity,,,
