particle_id,phase,source_path,source_folder,stl_size_bytes,stl_size_mib,stl_format,metadata_volume_um3,metadata_evsd_um,size_rank,size_bin_index,size_bin,input_unit,input_scale_to_meters,target_edge_length_native,target_edge_length_m,surface_path,surface_file_size_bytes,surface_n_points_surface,surface_n_triangles_surface,surface_surface_area,surface_surface_volume,surface_bbox_xmin,surface_bbox_xmax,surface_bbox_ymin,surface_bbox_ymax,surface_bbox_zmin,surface_bbox_zmax,surface_bbox_diagonal,surface_boundary_edge_count,surface_non_manifold_edge_count,surface_connected_components,surface_is_watertight,surface_area_min,surface_area_median,surface_area_p95,surface_area_max,surface_min_angle_min,surface_min_angle_median,surface_min_angle_p95,surface_min_angle_max,surface_max_angle_min,surface_max_angle_median,surface_max_angle_p95,surface_max_angle_max,surface_aspect_ratio_min,surface_aspect_ratio_median,surface_aspect_ratio_p95,surface_aspect_ratio_max,msh_path,merrill_msh_path,merrill_msh_size_bytes,merrill_msh_size_mib,mesh_strategy,voxel_spacing_native,voxel_cells,voxel_points,msh_size_bytes,msh_size_mib,n_nodes,n_tets,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,volume_min,volume_median,volume_p95,volume_max,scaled_jacobian_min,scaled_jacobian_median,scaled_jacobian_p95,scaled_jacobian_max,radius_ratio_min,radius_ratio_median,radius_ratio_p95,radius_ratio_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_p95,aspect_ratio_max,min_angle_min,min_angle_median,min_angle_p95,min_angle_max,max_angle_min,max_angle_median,max_angle_p95,max_angle_max,edge_length_min,edge_length_median,edge_length_p95,edge_length_max,edge_length_min_m,edge_length_median_m,edge_length_p95_m,edge_length_max_m,bbox_xmin_m,bbox_xmax_m,bbox_ymin_m,bbox_ymax_m,bbox_zmin_m,bbox_zmax_m,mesh_storage_bytes,vector_state_bytes,scalar_state_bytes,tet_workspace_bytes,sparse_operator_bytes,estimated_memory_bytes,estimated_memory_mib,estimated_memory_gib,estimated_memory_human,estimate_note,status,attempted_mesh_strategies,strategy_errors
PLAG123,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG123-binary.stl,Plag Binary meshes,67275,0.06415843963623047,ascii,0.0008645248892496,0.118193327502627,123,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG123-binary.stl,67275,210,415,0.10532673221972538,0.0006126865281089091,7.340889930725098,7.422793865203857,14.057177543640137,14.576011657714844,10.739372253417969,10.879371643066406,0.543596285411078,2,1,1,False,0.00020475356700444536,0.00021247661652523675,0.0003607611097701182,0.0003607667305938688,34.45073950369273,44.32570902063745,59.165069821995466,59.167780157574526,60.99411204031386,90.0,90.0,90.0,1.0101283997416157,1.3941764771801746,1.4558213876280173,1.4792082544988039,,data/Nikolaisen2022_merrill_msh/PLAG123.msh,314908,0.3003196716308594,voxel,0.009,1474.0,2399.0,314908,0.3003196716308594,2399,8844,7.340889930725098,7.422793865203857,14.066123008728027,14.576011657714844,10.739372253417969,10.879371643066406,1.187063051027801e-07,1.1871896170850595e-07,1.1871896170850595e-07,1.1871896170850595e-07,0.41212304030301516,0.5666884440639779,0.6871124890871632,0.6871124890871632,1.3666190369255633,1.3927537035055506,1.616085984621108,1.616085984621108,1.3803916805516516,1.7057679554800644,1.9792930213925277,1.9792930213925277,34.501066926891035,53.90469311156184,58.98123215810921,58.98302819117652,-1.0,-1.0,-1.0,-1.0,0.008749961853027344,0.012513320025800656,0.01547259301634982,0.01547259301634982,8.749961853027343e-09,1.2513320025800655e-08,1.547259301634982e-08,1.547259301634982e-08,7.3408899307250975e-06,7.422793865203857e-06,1.4066123008728026e-05,1.4576011657714843e-05,1.0739372253417968e-05,1.0879371643066406e-05,340584,690912,230304,566016,9212160,16559964.0,15.79281234741211,0.015422668308019638,15.79 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG122,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG122-binary.stl,Plag Binary meshes,67938,0.06479072570800781,ascii,0.001739025191349,0.149200089490851,124,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG122-binary.stl,67938,216,427,0.1109593692587831,0.00017722171400831374,3.7166740894317627,3.9419069290161133,8.993367195129395,9.180147171020508,13.11937141418457,13.259371757507324,0.32437121874729213,2,1,1,False,0.00020474403049774992,0.00021247661652523675,0.0003607526831902696,0.00036076392017657844,34.4493412784001,44.613664736491685,59.16585514036257,59.16605158248057,60.994111733273925,90.0,90.0,90.0,1.0101288842680125,1.39395504114504,1.463993155997168,1.4792322023815037,,data/Nikolaisen2022_merrill_msh/PLAG122.msh,538993,0.5140237808227539,voxel,0.009,2613.0,3568.0,538993,0.5140237808227539,3568,15678,3.7166740894317627,3.9419069290161133,8.993367195129395,9.180147171020508,13.11937141418457,13.259371757507324,1.1685112987710039e-07,1.1685422224034375e-07,1.1686695839535632e-07,1.1687948970121043e-07,0.4111697256346187,0.5694266026032112,0.6922368480924835,0.6922943747521556,1.3663507703215787,1.3929153823539748,1.6131303235712822,1.6131303235712824,1.3765667411344,1.7059659708204855,1.975673090680182,1.9756730906801825,34.69600198544341,54.119460895269626,59.245171611697806,59.24880277292742,-1.0,-1.0,-1.0,-1.0,0.008749961853027344,0.012476557042789091,0.015389381601705403,0.015390475009721212,8.749961853027343e-09,1.2476557042789091e-08,1.5389381601705404e-08,1.5390475009721212e-08,3.7166740894317626e-06,3.9419069290161135e-06,8.993367195129393e-06,9.180147171020508e-06,1.311937141418457e-05,1.3259371757507324e-05,587328,1027584,342528,1003392,13701120,24992928.0,23.835113525390625,0.023276478052139282,23.84 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG121,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG121-binary.stl,Plag Binary meshes,69141,0.06593799591064453,ascii,0.0015768945413867,0.144411354848491,125,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG121-binary.stl,69141,221,434,0.11973491036735748,0.0019179701200925537,5.887107849121094,6.0713911056518555,9.844253540039062,10.031034469604492,13.219371795654297,13.51937198638916,0.3985568324942666,10,6,1,False,0.00020474403049774992,0.00029506970338925886,0.0003607611097701182,0.00036077235146093895,34.448880766778835,44.32570902063745,59.16585514036257,59.16664089983677,60.994111733273925,90.0,90.0,90.0,1.0101288842680125,1.3941764771801746,1.4639903623347952,1.4792400905782201,,data/Nikolaisen2022_merrill_msh/PLAG121.msh,477869,0.4557313919067383,voxel,0.009,2289.0,3329.0,477869,0.4557313919067383,3329,13734,5.90553617477417,6.062176704406738,9.853147506713867,10.022140502929688,13.219371795654297,13.51937198638916,1.241575153260871e-07,1.241708283772694e-07,1.2419028184908892e-07,1.2419028184908892e-07,0.40751237534020207,0.562504584065029,0.6898409516867782,0.6898775208360182,1.366509491584771,1.3945676298487413,1.6043597266961573,1.604369631137851,1.3793207762955642,1.707989552465969,1.9649313471383316,1.9649434775524974,34.60301005590201,53.96090225308655,60.14667736422897,60.14667736422897,-1.0,-1.0,-1.0,-1.0,0.008893966674804688,0.012718309988102501,0.01570516433090935,0.015705984170881312,8.893966674804687e-09,1.27183099881025e-08,1.570516433090935e-08,1.570598417088131e-08,5.905536174774169e-06,6.062176704406738e-06,9.853147506713867e-06,1.0022140502929686e-05,1.3219371795654297e-05,1.351937198638916e-05,519384,958752,319584,878976,12783360,23190084.0,22.115787506103516,0.021597448736429214,22.12 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG120,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG120-binary.stl,Plag Binary meshes,69210,0.06600379943847656,ascii,0.0009906818385181,0.123683526566367,126,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG120-binary.stl,69210,217,435,0.11842307785555214,0.0007357134293826502,6.583285808563232,6.8699469566345215,12.479925155639648,12.625198364257812,7.079371929168701,7.419372081756592,0.46784508409895154,17,19,1,False,0.00020474891209687485,0.00029154452948006984,0.00036075549232100106,0.000360766733928757,34.449517993023896,44.32639185934991,59.165462484063276,59.166248255772906,60.994111733273925,90.0,90.0,90.0,1.0101288842680125,1.3941758097571748,1.4791974838168822,1.4792291755136726,,data/Nikolaisen2022_merrill_msh/PLAG120.msh,332548,0.3171424865722656,voxel,0.009,1550.0,2573.0,332548,0.3171424865722656,2573,9300,6.5922441482543945,6.843072414398193,12.479925155639648,12.625198364257812,7.079371929168701,7.419372081756592,1.2127902841718718e-07,1.2129176781092849e-07,1.2129822430873594e-07,1.2129822430873594e-07,0.40928299072729746,0.5707272524845192,0.6972153042123589,0.6972153042123589,1.3661260511106212,1.393503964192705,1.6079141505404795,1.6079141505404795,1.369724048308332,1.7066868334088638,1.9692846095124144,1.9692846095124144,34.88388580473342,54.522130816895356,59.73863143354975,59.73952006346976,-1.0,-1.0,-1.0,-1.0,0.008947372436523438,0.012660915465676341,0.015580242833062006,0.01558051699553925,8.947372436523437e-09,1.266091546567634e-08,1.5580242833062005e-08,1.558051699553925e-08,6.592244148254394e-06,6.8430724143981934e-06,1.2479925155639648e-05,1.2625198364257812e-05,7.079371929168701e-06,7.419372081756591e-06,359352,741024,247008,595200,9880320,17734356.0,16.912799835205078,0.01651640608906746,16.91 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 4 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG119,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG119-binary.stl,Plag Binary meshes,70959,0.0676717758178711,ascii,0.0018941812322301,0.153511518969992,127,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG119-binary.stl,70959,225,446,0.11226040461240336,0.00870302111021032,18.60257911682129,18.848289489746094,1.1486120223999023,1.3768980503082275,9.01937198638916,9.099371910095215,0.34480151637424944,5,5,1,False,0.0002047390353254741,0.0002124728888475147,0.00036075689154222064,0.0003607906123437674,34.447843793080885,44.61416730018779,59.16527143648075,59.16762751851468,60.99292988461106,90.0,90.0,90.0,1.0101166691413204,1.3939547598271083,1.4639845013170214,1.4792578546647464,,data/Nikolaisen2022_merrill_msh/PLAG119.msh,549745,0.5242776870727539,voxel,0.009,2677.0,3568.0,549745,0.5242776870727539,3568,16062,18.611679077148438,18.848289489746094,1.1486120223999023,1.3677666187286377,9.01937198638916,9.099371910095215,1.2309576650817075e-07,1.2310897420843986e-07,1.231347778081482e-07,1.2313638531177493e-07,0.4114971809015871,0.5732626585790818,0.6963685522195076,0.6964069162219132,1.3663528975914585,1.3927850760671674,1.613956068812598,1.613996300408637,1.3776685716717434,1.7058063788640074,1.976684417929559,1.9767336913704754,34.850215762104334,54.053178655838124,59.16441238341364,59.16441238341364,-1.0,-1.0,-1.0,-1.0,0.00888824462890625,0.012721129054832045,0.015659187945817072,0.015660365943084856,8.88824462890625e-09,1.2721129054832044e-08,1.565918794581707e-08,1.5660365943084855e-08,1.8611679077148438e-05,1.8848289489746092e-05,1.1486120223999023e-06,1.3677666187286377e-06,9.01937198638916e-06,9.099371910095215e-06,599616,1027584,342528,1027968,13701120,25048224.0,23.887847900390625,0.02332797646522522,23.89 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG118,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG118-binary.stl,Plag Binary meshes,71716,0.06839370727539062,ascii,0.0015705991709162,0.1442189227267,128,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG118-binary.stl,71716,229,450,0.11906918864623439,0.0016827367129552818,1.5667150020599365,1.7919490337371826,9.865006446838379,10.031034469604492,12.639371871948242,12.939372062683105,0.41023869613941355,7,3,1,False,0.00020474522256108685,0.000212477853551718,0.0003607512800994542,0.0003607751573292372,34.44941803059364,44.32690794232769,59.16595336160902,59.16595336160902,60.99420637873661,90.0,90.0,90.0,1.0101298218583066,1.3941753057743282,1.4639814406545766,1.4792308877189269,,data/Nikolaisen2022_merrill_msh/PLAG118.msh,497043,0.4740171432495117,pymeshfix_gmsh,,,,672247,0.6411046981811523,3708,14038,1.566715002059936,1.791949033737183,9.865006446838379,10.03103446960449,12.63937187194824,12.93937206268311,6.7308437524608365e-09,8.717776724633872e-08,1.9157557708346413e-07,3.30828635080738e-07,0.02337498636901366,0.5534277464663618,0.7976690362433125,0.9789152513905883,1.001052053677732,1.3094864831455237,2.1921226679797674,25.08900546765167,1.0223665268565982,1.5520306258302474,2.5461727252817705,10.475195905509604,5.400480059839712,49.36165693913506,67.19865883388508,82.78167076445357,-1.0,-1.0,-1.0,-1.0,0.0029427141302157313,0.009981343113717055,0.014406009374245486,0.0290825522009352,2.9427141302157312e-09,9.981343113717055e-09,1.4406009374245485e-08,2.90825522009352e-08,1.566715002059936e-06,1.791949033737183e-06,9.865006446838378e-06,1.003103446960449e-05,1.263937187194824e-05,1.293937206268311e-05,538208,1067904,355968,898432,14238720,25648848.0,24.460647583007812,0.023887351155281067,24.46 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity
PLAG117,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG117-binary.stl,Plag Binary meshes,72297,0.06894779205322266,ascii,0.0019319585313596,0.154525346454056,129,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG117-binary.stl,72297,225,446,0.11140167020192923,0.002015637005995637,26.096723556518555,26.240053176879883,6.918035984039307,7.167075157165527,12.199371337890625,12.319372177124023,0.31139057667346665,0,0,1,True,0.00020474879875109764,0.00021247166841931175,0.000360744254220975,0.00036078359104281164,34.448262609097725,44.32637598917555,59.16546225162776,59.16703377057601,60.99373345506567,90.0,90.0,90.0,1.010124648649406,1.3941758252613832,1.463973679421061,1.4792506797935838,,data/Nikolaisen2022_merrill_msh/PLAG117.msh,620467,0.5917234420776367,gmsh,,,,813394,0.7757129669189453,4118,18036,26.096724,26.240053,6.918035999999999,7.167075,12.199371,12.319372,9.743056985528227e-09,1.0753946144019913e-07,1.9744550607503893e-07,3.6239526465434554e-07,0.055659311659948064,0.6003709190373854,0.8159409561509497,0.9742326483083447,1.0019391616723126,1.2584584522592928,2.076096406466527,14.290435550932912,1.0173783516344816,1.4870360857488012,2.444464865613231,6.325007903826092,8.374889877165383,50.064615445042264,66.46358609346788,83.90776717166302,-1.0,-1.0,-1.0,-1.0,0.0030965796766195025,0.010428276114905771,0.01457841880516439,0.026152309429127753,3.0965796766195026e-09,1.0428276114905771e-08,1.4578418805164389e-08,2.615230942912775e-08,2.6096723999999996e-05,2.6240052999999998e-05,6.918035999999999e-06,7.1670749999999995e-06,1.2199371e-05,1.2319372e-05,675984,1185984,395328,1154304,15813120,28837080.0,27.501182556152344,0.026856623589992523,27.50 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,
PLAG116,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG116-binary.stl,Plag Binary meshes,73593,0.07018375396728516,ascii,0.0020401233852183,0.157356952914541,130,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG116-binary.stl,73593,230,454,0.11649334470825096,0.002135582254929829,17.35355567932129,17.537837982177734,6.585981845855713,6.855774879455566,13.139371871948242,13.239372253417969,0.3416845393329601,4,2,1,False,0.00020474879875109764,0.0002124816965078935,0.00036075548898968916,0.0003607779723713267,34.44980179266129,44.613673672650606,59.16546225162776,59.16703377057601,60.99373345506567,90.0,90.0,90.0,1.010124648649406,1.393955036139686,1.4639836269373365,1.479224314564088,,data/Nikolaisen2022_merrill_msh/PLAG116.msh,647151,0.6171712875366211,pymeshfix_gmsh,,,,869364,0.8290901184082031,4311,18796,17.35355567932129,17.53783798217773,6.585981845855713,6.855774879455568,13.13937187194824,13.23937225341797,3.0318495221903035e-09,1.0959543526533592e-07,2.0073658433533376e-07,3.8746927478688797e-07,0.030111041951145934,0.5959479171058688,0.8167360331301725,0.978921329648345,1.001051169381842,1.2662625910595438,2.073726871339055,152.2416956923964,1.0240591013284062,1.4951274273504969,2.424901801235067,19.134562065699264,6.81817524697542,49.83982161713871,66.78273058917338,83.35735428049043,-1.0,-1.0,-1.0,-1.0,0.0020601817919051317,0.010491126364625764,0.014658921520047457,0.024906240861519997,2.0601817919051315e-09,1.0491126364625763e-08,1.4658921520047456e-08,2.4906240861519995e-08,1.7353555679321287e-05,1.753783798217773e-05,6.585981845855713e-06,6.855774879455568e-06,1.3139371871948239e-05,1.3239372253417969e-05,704936,1241568,413856,1202944,16554240,30176316.0,28.778377532958984,0.028103884309530258,28.78 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity
PLAG115,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG115-binary.stl,Plag Binary meshes,73755,0.07033824920654297,ascii,0.0014674188678629,0.140988976836896,131,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG115-binary.stl,73755,229,455,0.11782507906860887,0.003304251935606402,1.5257630348205566,1.62814199924469,14.63827133178711,14.94957160949707,11.899372100830078,12.0393705368042,0.3563549878057789,1,2,1,False,0.00020473545930599357,0.000212477853551718,0.0003607512800994542,0.0003607625149719945,34.44941803059364,43.94355617301423,59.16442127243771,59.1674855002659,60.993449512122695,90.0,90.0,90.0,1.0101218354426387,1.3946562499597672,1.4558269580980314,1.4792308877189269,,data/Nikolaisen2022_merrill_msh/PLAG115.msh,487803,0.46520519256591797,pymeshfix_gmsh,,,,655845,0.625462532043457,3521,13895,1.525763034820557,1.62814199924469,14.63827133178711,14.94957160949707,11.89937210083008,12.0393705368042,9.756668942469676e-09,1.0560071637776553e-07,2.0648973504699964e-07,3.3032613760737454e-07,0.12752898142844574,0.5711301332703761,0.804157107317363,0.9719713817004234,1.0012425571351484,1.2879192156663604,2.0352365992836647,3.8334975130455065,1.0271170898544912,1.52442397085471,2.388669051866613,4.234950449625882,11.69559266767786,49.86313358099016,66.78187346327901,80.40197486791189,-1.0,-1.0,-1.0,-1.0,0.002518294681889276,0.010447571015814556,0.014862556752292923,0.018956856683000452,2.5182946818892757e-09,1.0447571015814554e-08,1.4862556752292922e-08,1.895685668300045e-08,1.525763034820557e-06,1.62814199924469e-06,1.4638271331787109e-05,1.494957160949707e-05,1.1899372100830079e-05,1.20393705368042e-05,529144,1014048,338016,889280,13520640,24436692.0,23.304645538330078,0.022758442908525467,23.30 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
PLAG114,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG114-binary.stl,Plag Binary meshes,74613,0.07115650177001953,ascii,0.0016759520223926,0.147374039126146,132,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG114-binary.stl,74613,242,478,0.11728579397905271,0.0017464170970144454,8.48753547668457,8.671817779541016,4.3238701820373535,4.655922889709473,9.799371719360352,9.879371643066406,0.38809658026248445,4,2,1,False,0.00020474879875109764,0.00021247655013212352,0.0003607450966696244,0.00036078359104281164,34.44953704125263,44.61433184461598,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3939546678003747,1.4639751938179781,1.4792288492485905,,data/Nikolaisen2022_merrill_msh/PLAG114.msh,503343,0.4800252914428711,pymeshfix_gmsh,,,,675727,0.6444234848022461,3525,14446,8.50801086425781,8.671817779541016,4.323870182037354,4.655922889709473,9.79937171936035,9.879371643066408,4.937609708121962e-12,1.1639162989949958e-07,2.1359637009376842e-07,3.5519968221720504e-07,1.0009030850198286e-05,0.582945885727102,0.8069370166824308,0.9755688901668019,1.0027947198798175,1.2741838269939132,2.076091039697447,255778619.3843529,1.0267021854545961,1.5052429914350998,2.4196361338541195,25932.41710719333,0.006143021769220419,50.426138370000174,66.75825071722599,82.4646139847899,-1.0,-1.0,-1.0,-1.0,4.966822827950943e-06,0.010740085192722234,0.01499787243862335,0.026719023026036307,4.966822827950943e-12,1.0740085192722233e-08,1.4997872438623348e-08,2.6719023026036304e-08,8.50801086425781e-06,8.671817779541015e-06,4.323870182037354e-06,4.655922889709472e-06,9.799371719360349e-06,9.879371643066407e-06,546872,1015200,338400,924544,13536000,24541524.0,23.404621124267578,0.022856075316667557,23.40 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
